"vernacularName";"scientificName";"individualCount";"longitudeDecimal";"latitudeDecimal";"eventDate";"year"
"Elk";"Alces alces";3;22.5844869018;53.3779006112;2015-02-04;2015
"European Roe Deer";"Capreolus capreolus";15;22.5844869018;53.3779006112;2015-02-04;2015
"White-tailed Eagle";"Haliaeetus albicilla";1;22.8928792477;53.3458343419;2015-02-04;2015
"Hawfinch";"Coccothraustes coccothraustes";5;23.2231530547;53.1129863933;2015-02-04;2015
"Great Grey Shrike";"Lanius excubitor";1;23.6002930999;52.8103877457;2015-02-04;2015
"Great Spotted Woodpecker";"Dendrocopos major";1;23.5919098556;52.7382140659;2015-02-04;2015
"Syrian Woodpecker";"Dendrocopos syriacus";1;23.5919098556;52.7382140659;2015-02-04;2015
"Eurasian Bullfinch";"Pyrrhula pyrrhula";4;23.5919098556;52.7382140659;2015-02-04;2015
"Western Jackdaw ssp monedula";"Coloeus monedula monedula";1;23.5912232101;52.7379802144;2015-02-04;2015
"Lesser Spotted Woodpecker";"Dryobates minor";1;23.7685212493;52.6999492729;2015-02-04;2015
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";3;23.7685212493;52.6999492729;2015-02-04;2015
"Brown Hare";"Lepus europaeus";1;23.7675623596;52.802527505;2015-02-04;2015
"Red Fox";"Vulpes vulpes";1;23.75;52.8;2015-02-04;2015
"Eurasian Pygmy Owl";"Glaucidium passerinum";1;23.8;52.8;2015-02-04;2015
"Hazel Grouse";"Tetrastes bonasia";1;23.8;52.8;2015-02-04;2015
"Black Woodpecker";"Dryocopus martius";5;23.827572763;52.801878468;2015-02-04;2015
"White-backed Woodpecker";"Dendrocopos leucotos";3;23.8240537047;52.7990243739;2015-02-04;2015
"Red Deer";"Cervus elaphus";3;23.8280019164;52.801878468;2015-02-04;2015
"Common Kingfisher";"Alcedo atthis";1;23.8505753875;52.7013535868;2015-02-03;2015
"Eurasian Beaver";"Castor fiber";1;23.85;52.7;2015-02-03;2015
"Red Deer";"Cervus elaphus";3;23.8221077621;52.798972885;2015-02-03;2015
"Wild Boar";"Sus scrofa";4;23.8221077621;52.798972885;2015-02-03;2015
